series_id,year,period,value,data_type,region,item,date
CUUR0000SA0,1993,M08,144.8,CPI (Unadjusted),National,All items,1993-08-01
CUUR0000SA0,1993,M07,144.4,CPI (Unadjusted),National,All items,1993-07-01
CUUR0000SA0,1993,M06,144.4,CPI (Unadjusted),National,All items,1993-06-01
CUUR0000SA0,1993,M05,144.2,CPI (Unadjusted),National,All items,1993-05-01
CUUR0000SA0,1993,M04,144.0,CPI (Unadjusted),National,All items,1993-04-01
CUUR0000SA0,1993,M03,143.6,CPI (Unadjusted),National,All items,1993-03-01
CUUR0000SA0,1993,M02,143.1,CPI (Unadjusted),National,All items,1993-02-01
CUUR0000SA0,1993,M01,142.6,CPI (Unadjusted),National,All items,1993-01-01
CUUR0000SA0,1992,M12,141.9,CPI (Unadjusted),National,All items,1992-12-01
CUUR0000SA0,1992,M11,142.0,CPI (Unadjusted),National,All items,1992-11-01
CUUR0000SA0,1992,M10,141.8,CPI (Unadjusted),National,All items,1992-10-01
CUUR0000SA0,1992,M09,141.3,CPI (Unadjusted),National,All items,1992-09-01
CUUR0000SA0,1992,M08,140.9,CPI (Unadjusted),National,All items,1992-08-01
CUUR0000SA0,1992,M07,140.5,CPI (Unadjusted),National,All items,1992-07-01
CUUR0000SA0,1992,M06,140.2,CPI (Unadjusted),National,All items,1992-06-01
CUUR0000SA0,1992,M05,139.7,CPI (Unadjusted),National,All items,1992-05-01
CUUR0000SA0,1992,M04,139.5,CPI (Unadjusted),National,All items,1992-04-01
CUUR0000SA0,1992,M03,139.3,CPI (Unadjusted),National,All items,1992-03-01
CUUR0000SA0,1992,M02,138.6,CPI (Unadjusted),National,All items,1992-02-01
CUUR0000SA0,1992,M01,138.1,CPI (Unadjusted),National,All items,1992-01-01
CUUR0000SA0,1991,M12,137.9,CPI (Unadjusted),National,All items,1991-12-01
CUUR0000SA0,1991,M11,137.8,CPI (Unadjusted),National,All items,1991-11-01
CUUR0000SA0,1991,M10,137.4,CPI (Unadjusted),National,All items,1991-10-01
CUUR0000SA0,1991,M09,137.2,CPI (Unadjusted),National,All items,1991-09-01
CUUR0000SA0,1991,M08,136.6,CPI (Unadjusted),National,All items,1991-08-01
CUUR0000SA0,1991,M07,136.2,CPI (Unadjusted),National,All items,1991-07-01
CUUR0000SA0,1991,M06,136.0,CPI (Unadjusted),National,All items,1991-06-01
CUUR0000SA0,1991,M05,135.6,CPI (Unadjusted),National,All items,1991-05-01
CUUR0000SA0,1991,M04,135.2,CPI (Unadjusted),National,All items,1991-04-01
CUUR0000SA0,1991,M03,135.0,CPI (Unadjusted),National,All items,1991-03-01
CUUR0000SA0,1991,M02,134.8,CPI (Unadjusted),National,All items,1991-02-01
CUUR0000SA0,1991,M01,134.6,CPI (Unadjusted),National,All items,1991-01-01
CUUR0000SA0,1990,M12,133.8,CPI (Unadjusted),National,All items,1990-12-01
CUUR0000SA0,1990,M11,133.8,CPI (Unadjusted),National,All items,1990-11-01
CUUR0000SA0,1990,M10,133.5,CPI (Unadjusted),National,All items,1990-10-01
CUUR0000SA0,1990,M09,132.7,CPI (Unadjusted),National,All items,1990-09-01
CUUR0000SA0,1990,M08,131.6,CPI (Unadjusted),National,All items,1990-08-01
CUUR0000SA0,1990,M07,130.4,CPI (Unadjusted),National,All items,1990-07-01
CUUR0000SA0,1990,M06,129.9,CPI (Unadjusted),National,All items,1990-06-01
CUUR0000SA0,1990,M05,129.2,CPI (Unadjusted),National,All items,1990-05-01
CUUR0000SA0,1990,M04,128.9,CPI (Unadjusted),National,All items,1990-04-01
CUUR0000SA0,1990,M03,128.7,CPI (Unadjusted),National,All items,1990-03-01
CUUR0000SA0,1990,M02,128.0,CPI (Unadjusted),National,All items,1990-02-01
CUUR0000SA0,1990,M01,127.4,CPI (Unadjusted),National,All items,1990-01-01
