series id,year,period,value,region,item,date,data_type
CUUR0000SA0,1998,M12,163.9,National,All items,1998-12-01,CPI (Unadjusted)
CUUR0000SA0,1998,M11,164.0,National,All items,1998-11-01,CPI (Unadjusted)
CUUR0000SA0,1998,M10,164.0,National,All items,1998-10-01,CPI (Unadjusted)
CUUR0000SA0,1998,M09,163.6,National,All items,1998-09-01,CPI (Unadjusted)
CUUR0000SA0,1998,M08,163.4,National,All items,1998-08-01,CPI (Unadjusted)
CUUR0000SA0,1998,M07,163.2,National,All items,1998-07-01,CPI (Unadjusted)
CUUR0000SA0,1998,M06,163.0,National,All items,1998-06-01,CPI (Unadjusted)
CUUR0000SA0,1998,M05,162.8,National,All items,1998-05-01,CPI (Unadjusted)
CUUR0000SA0,1998,M04,162.5,National,All items,1998-04-01,CPI (Unadjusted)
CUUR0000SA0,1998,M03,162.2,National,All items,1998-03-01,CPI (Unadjusted)
CUUR0000SA0,1998,M02,161.9,National,All items,1998-02-01,CPI (Unadjusted)
CUUR0000SA0,1998,M01,161.6,National,All items,1998-01-01,CPI (Unadjusted)
CUUR0000SA0,1997,M12,161.3,National,All items,1997-12-01,CPI (Unadjusted)
CUUR0000SA0,1997,M11,161.5,National,All items,1997-11-01,CPI (Unadjusted)
CUUR0000SA0,1997,M10,161.6,National,All items,1997-10-01,CPI (Unadjusted)
CUUR0000SA0,1997,M09,161.2,National,All items,1997-09-01,CPI (Unadjusted)
CUUR0000SA0,1997,M08,160.8,National,All items,1997-08-01,CPI (Unadjusted)
CUUR0000SA0,1997,M07,160.5,National,All items,1997-07-01,CPI (Unadjusted)
CUUR0000SA0,1997,M06,160.3,National,All items,1997-06-01,CPI (Unadjusted)
CUUR0000SA0,1997,M05,160.1,National,All items,1997-05-01,CPI (Unadjusted)
CUUR0000SA0,1997,M04,160.2,National,All items,1997-04-01,CPI (Unadjusted)
CUUR0000SA0,1997,M03,160.0,National,All items,1997-03-01,CPI (Unadjusted)
CUUR0000SA0,1997,M02,159.6,National,All items,1997-02-01,CPI (Unadjusted)
CUUR0000SA0,1997,M01,159.1,National,All items,1997-01-01,CPI (Unadjusted)
CUUR0000SA0,1996,M12,158.6,National,All items,1996-12-01,CPI (Unadjusted)
CUUR0000SA0,1996,M11,158.6,National,All items,1996-11-01,CPI (Unadjusted)
CUUR0000SA0,1996,M10,158.3,National,All items,1996-10-01,CPI (Unadjusted)
CUUR0000SA0,1996,M09,157.8,National,All items,1996-09-01,CPI (Unadjusted)
CUUR0000SA0,1996,M08,157.3,National,All items,1996-08-01,CPI (Unadjusted)
CUUR0000SA0,1996,M07,157.0,National,All items,1996-07-01,CPI (Unadjusted)
CUUR0000SA0,1996,M06,156.7,National,All items,1996-06-01,CPI (Unadjusted)
CUUR0000SA0,1996,M05,156.6,National,All items,1996-05-01,CPI (Unadjusted)
CUUR0000SA0,1996,M04,156.3,National,All items,1996-04-01,CPI (Unadjusted)
